"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/08/19 2:23:48 pm CET","Ric","Schwarz","2009","Technological Forecasting and Social Change","76","","497–511","Yes","Yes","Yes","Yes","Multiple Counties or Region","Southern Germany","Vector (polygons, lines, points)","","","","180","Months","Households","11915","Households","1300000","4","No","","Yes","for the sake of simplicity","less aggregated agents (e.g. simulating people not households);more complicated decision making algorithms",""
"2024/08/19 2:43:54 pm CET","Ric","Wolf","2015","Technological Forecasting and Social Change","94","","269–285","Yes","Yes","Yes","Yes","City","Berlin, Germany","Not a spatially explicit model","No","","","100","Seasons / Quarters","Humans","675","Humans","","40","No","","","lack of data;","","No"
"2024/08/19 2:59:42 pm CET","Ric","Zhang","2016","Technological Forecasting and Social Change","106","","74–84","Yes","Yes","Yes","Yes","City","Leeds UK","Paper does not say","","","","1440","Minutes","Households","1000","Households","787700","200","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/08/19 3:29:47 pm CET","Ric","Najafi","2017","Medical Decision Making","25","","871-881","Yes","Yes","Yes","Yes","","Veterans Centre located at Sunnybrook Health Sciences Centre, Toronto","Paper does not say","","","","1000","Seconds","Humans","68","Humans","68","10000","Yes","National HPC infrastructure","No","","","Yes"
"2024/08/19 3:43:38 pm CET","Ric","Nyambo","2022","Adaptive Behaviour","","30.1  ","51-62.","Yes","Yes","Yes","Yes","More than one Nation, but not a whole Continent","Ethiopia and Tanzania","Not a spatially explicit model","","","","725","Days","Households","4679","Households","","12","No","","No","","",""
"2024/08/19 3:57:52 pm CET","Ric","Davey","2008","PLoS ONE","3","7","1-14","Yes","Yes","Yes","Yes","Nation","USA","Not a spatially explicit model","","","","160","Days","Humans","10000","Humans","","100","No","","","","","No"
"2024/08/19 4:06:12 pm CET","Doug","Le","2012","Environmental Modelling and Software","27-28","","83-96","Yes","Yes","Yes","Yes","Catchment of a River Basin","Hong Ha watershed in central Vietnam","Paper does not say","No","","","","Years","Households","","Households","","","No","","No","","","No"
"2024/08/19 4:11:07 pm CET","Alison","Gurramm","2019","Computers, Environment and Urban Systems","75","","22-34","No","Yes","Yes","Yes","County or Municipality","Hillsborough County, Tampa, Florida","","","","","","","","","","","","","","","","",""
"2024/08/19 4:23:47 pm CET","Alison","Roy","2020","Computers, Environment and Urban Systems","80","","","Yes","Yes","Yes","Yes","City","Bangalore","Mix of Raster and Vector","","","37","100","Seconds","Households","","Households","","30","No","","","","more data","Maybe"
"2024/08/19 4:27:14 pm CET","Alison","Martins Monteiro","2021","Computers, Environment and Urban Systems","87","","","No","Yes","","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/08/19 4:34:29 pm CET","Alison","Moreno","2007","Environmental Modelling and Software","","","","Yes","Yes","Yes","Yes","Village","aparo Forest Reserve in western Venezuela.","Raster (cells, pixels, patches)","","","","","Months","Humans;Municipal/Local Governments","100","Humans","","","No","","No","","more complicated decision making algorithms","No"
"2024/08/19 4:53:47 pm CET","Alison","Naivinit","2010","Environmental Modelling and Software","25","","","Yes","Yes","Yes","Yes","Village","Ban Mak Mai, Thailand","Raster (cells, pixels, patches)","","","","3650","Days","Humans;Households","","","","","No","","No","","","No"
"2024/08/19 5:05:30 pm CET","Alison","Haase","2012","Environmental Modelling and Software","35","","92-103","Yes","Yes","Yes","Yes","City","Leipzig","Raster (cells, pixels, patches)","No","","","","","Humans","","","437000","","No","","No","","","No"
"2024/08/20 8:53:08 am CET","Alison","Crooks","2014","Environmental Modelling and Software","62","","164 - 177","Yes","Yes","Yes","Yes","Village","Dadaab refugee camp in Kenya","Raster (cells, pixels, patches)","Yes","337.5","","","Days","Humans","500000","Humans","","","No","","No","for the sake of simplicity","more data","Yes"
"2024/08/20 9:03:41 am CET","Alison","Noel","2017","Environmental Modelling and Software","92","","1 - 16","Yes","Yes","Yes","Yes","County or Municipality","Sheridan County in Kansas - 6475km2","Raster (cells, pixels, patches)","No","","","59","Years","Humans;Organizations (businesses, NGOs, etc.)","1040","Humans","","","No","","No","lack of data","more complicated decision making algorithms;more data","No"
"2024/08/20 9:14:36 am CET","Alison","Braasch","2018","Environmental Modelling and Software","105","","153-170","Yes","Yes","Yes","Yes","County or Municipality","La Sepultura MABR, Chiapas, Mexico","Raster (cells, pixels, patches)","Yes","10449","","","Years","Humans","","","","","No","","No","","","No"
"2024/08/20 9:30:05 am CET","Gary","Nyambo","2020","Adaptive Behaviour","","","1-12","Yes","Yes","Yes","Yes","More than one Nation, but not a whole Continent","Ten regions in Ethiopia and Tanzania","Paper does not say","N/A","","","725","Days","Households","4394","Households","","10","No","","Maybe","Too many rows of data in Excel (1.965m)","","No"
"2024/08/20 9:40:15 am CET","Alison","Wolf","2020","Technological Forecasting and Social Change","80","","","Yes","Yes","Yes","Yes","City","Berlin","Paper does not say","N/A","","","100","","Humans","675","Humans","","","No","","No","lack of data","","No"
"2024/08/20 9:50:46 am CET","Alison","Sun","2019","Technological Forecasting and Social Change","140","","281-295","Yes","Yes","Yes","No","","","Paper does not say","No","","","40","Years","Humans","","Humans","","100","No","","No","","","No"
"2024/08/20 10:38:06 am CET","Gary","Morrison","2022","Transportation Research Record","2676","11","520-532","I cannot be sure from reading the paper","Yes","Yes","Yes","County or Municipality","New Brunswick, Canada","Raster (cells, pixels, patches)","Yes","900","","156600","Minutes","Human-Operated Machines","44","Human-Operated Machines","","100","No","","Maybe","lack of data","including other social processes;including new classes of agent","No"
"2024/08/20 11:10:10 am CET","Gary","Siegrist","2022","Transportation Research Record","2676","11","436-445","I cannot be sure from reading the paper","Yes","Yes","Yes","City","Zurich, Switzerland","Paper does not say","N/A","","","","","Humans","12072","Humans","1400000","5","No","","No","","including other social processes","No"
"2024/08/20 11:23:33 am CET","Gary","Chen","2022","Transportation Research Record","2677","2","555-563","No","Yes","Yes","Yes","Multiple Counties or Region","Indiana, USA","Vector (polygons, lines, points)","No","","","","","","","","","","No","","No","","more environmental dynamics","No"
"2024/08/20 11:40:26 am CET","Gary","Marshall","2012","PLoS ONE","7","9","e44833","Yes","Yes","Yes","Yes","City","New York City, USA","Not a spatially explicit model","N/A","","","11","Years","Humans","100000","Humans","11700000","1000","Yes","Organization's computing cluster","No","lack of data","more agents;more runs of the model;including other social processes;more data;more / other scenarios;more fine-grained temporal resolution, more attributes (demographic)","Yes"
"2024/08/20 11:40:53 am CET","Doug","Smagjl","2013","Environmental Modelling and Software","45","","8-14","Yes","Yes","Yes","Yes","Multiple Counties or Region","East Kalimantan, Indonesia","Paper does not say","No","","","","Days","","","","","","No","","No","","","No"
"2024/08/20 11:52:35 am CET","Gary","Nsoesie","2013","PLoS ONE","8","6","e67164","Yes","Yes","Yes","Yes","Multiple Counties or Region","Montgomery County, Virginia, United States; also Miami; also Seattle","Not a spatially explicit model","N/A","","","180","Days","Humans","3200000","Humans","","750","No","","No","","","No"
"2024/08/20 12:02:54 pm CET","Alison","Viegas de Lima","2018","Transportation Research Record","","","","Yes","Yes","Yes","Yes","County or Municipality","Greater Boston Area","Paper does not say","No","","","","","Humans","4500000","","","","Yes","Organization's computing cluster","No","lack of data","more data","No"
"2024/08/20 12:06:27 pm CET","Gary","Santos","2015","PLoS ONE","10","4","e0121888","Yes","Yes","No","N/A (This paper should be excluded)","","Southern Tierra del Fuego, Argentina-Chile","Raster (cells, pixels, patches)","Yes","40401","","100000","Days","Humans","400","Humans","","16000","No","","","","","No"
"2024/08/20 2:01:17 pm CET","Ric","Magliocca","2014","PLoS ONE","9","1","e86179","Yes","Yes","Yes","Yes","More than one Nation, but not a whole Continent","Sample sites included two in China (western Shandong Province, China (1a) and northern Hunan Province, China (1b)), two in Luoang Namtha, Laos (1c), one in southwestern Kentucky, USA (2a), and one in northwestern Virginia, USA","Raster (cells, pixels, patches)","Yes","10000","","20","Years","Humans;Households","100","Households","","1560","No","","Yes","lack of data","more agents","No"
"2024/08/20 2:04:05 pm CET","Ric","Santos","2015","PLoS ONE","1","4","e0121888.","Yes","Yes","No","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/08/20 2:14:29 pm CET","Ric","Grow","2015","PLoS ONE","10","6","e0127806.","Yes","Yes","Yes","Yes","More than one Nation, but not a whole Continent","12 European countries","Not a spatially explicit model","","","","60","Years","Humans","500","Humans","","250","No","","Yes","lack of data","more inteactions","No"
"2024/08/20 2:22:43 pm CET","Ric","Kouwenberg","2015","PLoS ONE","10","6","e0129070.","Yes","Yes","Yes","Yes","City","Washington D.C","Not a spatially explicit model","","","","208","Seasons / Quarters","Households","2200000","","2200000","100","No","","No","","","No"
"2024/08/20 2:36:46 pm CET","Ric","Gutfraind","2015","PLoS ONE","10","9","e0137993.","Yes","Yes","Yes","Yes","City","Chicago","Raster (cells, pixels, patches)","No","","","7500","Days","Humans","32000","","","1200","Yes","National HPC infrastructure","No","","","Yes"
"2024/08/20 2:48:06 pm CET","Ric","Shrime","2016","PLoS ONE","11","12","e0168867","Yes","Yes","Yes","Yes","Nation","Uganda","Paper does not say","","","","18250","Days","Humans","10000","Humans","37500000","100","No","","Yes","lack of data","more data","No"
"2024/08/20 2:59:26 pm CET","Ric","Lindkvist","2016","PLoS ONE","12","4","e0175532.","Yes","Yes","Yes","Yes","Multiple Counties or Region","Northwest Mexico.","Not a spatially explicit model","","","","36500","Days","Human-Operated Machines","","Human-Operated Machines","","10000","No","","Yes","lack of data;quality of data","","No"
"2024/08/20 9:50:28 pm CET","Richard","Ziervogel","2004","Agricultural Systems","","83","1-26","Yes","Yes","Yes","Yes","Town","Lesotho","Paper does not say","No","","","200","Seasons / Quarters","Households","700","Households","","500","No","","No","","more environmental dynamics","No"
"2024/08/21 8:57:02 am CET","Doug","Hase","2012","Environmental Modelling and Software","35","","92-103","Yes","Yes","Yes","Yes","City","Leipzig, Germany","Raster (cells, pixels, patches)","No","","","","","Households","","","","","No","","No","","","No"
"2024/08/21 10:58:27 am CET","Doug","Balbi","2013","Computational Economics","45","","29-51","Yes","Yes","Yes","Yes","","Auronzo di Cadore, Dolomites","Paper does not say","","","","","","Humans;Organizations (businesses, NGOs, etc.)","14000","Humans","","5600","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/08/21 2:23:09 pm CET","Richard","Castella","2005","Agricultural Systems","","86","312-332","Yes","Yes","Yes","Yes","Village","2500 * 1000M^2","Raster (cells, pixels, patches)","Yes","2500","","","Years","Households","50","Households","","","No","","","","more complicated decision making algorithms","No"
"2024/08/21 3:08:59 pm CET","Ric","Alghais","2017","PLoS ONE","13","12","e0209065.","Yes","Yes","Yes","Yes","Nation","Kuwait","Vector (polygons, lines, points)","No","","","7","Years","Humans;Households;Organizations (businesses, NGOs, etc.)","","Humans","4500000","35","Yes","","Yes","lack of data","","No"
"2024/08/21 3:26:07 pm CET","Ric","Perez","2019","PLoS ONE","14","7","e0219188","Yes","Yes","Yes","Yes","City","Montreal","Other","","","","","Years","Humans;Households","12000","Humans","","1200","No","","Yes","","validation","No"
"2024/08/21 3:41:56 pm CET","Doug","Murray-Rust","2013","Environmental Modelling and Software","46","","75-89","Yes","Yes","Yes","Yes","County or Municipality","Koper, Slovenia","Raster (cells, pixels, patches)","Yes","31100","","","Years","","","Organizations","","150","No","","No","","","No"
"2024/08/21 4:46:24 pm CET","Richard","Berger","2006","Agricultural Systems","","88","28-43","Yes","Yes","Yes","Yes","Village","Uganda and Chile","Raster (cells, pixels, patches)","No","","","","","Households","","","","","","","No","","","No"
"2024/08/21 5:04:01 pm CET","Richard","Retzlaff","2022","Journal of Artificial Societies and Social Simulation","25(1)","3","1-39","Yes","Yes","Yes","Yes","City","Aachen, Germany","Vector (polygons, lines, points)","No","","","","","Humans","52910","Humans","52910","","No","","No","","more agents","Yes"
"2024/08/21 8:23:38 pm CET","Richard","Zheng","2013","Agricultural Systems","","122","60-72","Yes","Yes","Yes","Yes","County or Municipality","Zhongjiang County,  Sichuan Province in southwest China","Not a spatially explicit model","","","","","Years","Humans","20056","Humans","1400392","","No","","No","","","No"
"2024/08/21 8:50:17 pm CET","Richard","Zagaria","2021","Agricultural Systems","","188","1-15","Yes","Yes","Yes","Yes","County or Municipality","Emilia Romagna Italy","Raster (cells, pixels, patches)","No","","","33","Seasons / Quarters","Organizations (businesses, NGOs, etc.)","8584","Humans","","5","No","","No","","","No"
"2024/08/21 9:06:59 pm CET","Richard","Feitosa","2010","Computers, Environment and Urban Systems","","","1-12","Yes","Yes","Yes","Yes","City","Sao Jose Dos Campos Brazil","Raster (cells, pixels, patches)","No","","","9","Years","Humans","106591","Humans","106591","5","No","","No","","","No"
"2024/08/21 9:36:38 pm CET","Richard","Metcalf","2019","Computers, Environment and Urban Systems","","","1-29","Yes","Yes","Yes","Yes","County or Municipality","Florida Keys, USA","Vector (polygons, lines, points)","No","","","24","Hours","Humans;Households","79547","Humans","79547","50","No","","No","","","Maybe"
"2024/08/22 12:00:25 pm CET","Richard","Marini","2019","Computers, Environment and Urban Systems","","78","1-15","Yes","Yes","Yes","Yes","County or Municipality","Lausanne Switzerland","Vector (polygons, lines, points)","Yes","","","","Years","Humans;Households","8000000","Humans","8000000","","No","","Yes","","more agents;larger spatial extent","Maybe"
"2024/08/22 12:21:29 pm CET","Richard","Roy","2020","Computers, Environment and Urban Systems","","","1-36","Yes","Yes","Yes","Yes","County or Municipality","Bangalore India","Vector (polygons, lines, points)","Yes","","37","","","Humans;Households","","Humans","4500000","","No","","No","","","Maybe"
"2024/08/22 1:43:23 pm CET","Alison","Mintram","2022","PLoS ONE","","","","Yes","Yes","Yes","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/08/22 2:01:08 pm CET","Alison","Masoud","2023","Transportation Research Record","2677","1","","Yes","Yes","Yes","Yes","Village","Kelowna, British Columbia, Canada","Mix of Raster and Vector","No","","","","","Humans","","","2400","","No","","No","","more data","No"
"2024/08/22 2:12:05 pm CET","Alison","Atti","2008","PLoS ONE","","","","No","I don't think there are any agents in the model","","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/08/22 2:21:44 pm CET","Alison","Davey","2008","PLoS ONE","3","7","","No","I don't think there are any agents in the model","","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/08/22 2:41:38 pm CET","Richard","Joubert","2022","Computers, Environment and Urban Systems","","94","1-18","Yes","Yes","Yes","Yes","City","Cape Town South Africa","Vector (polygons, lines, points)","","","6800000","3800","Minutes","Humans","2014380","Humans","2014380","","Yes","Personal computer (desktop/laptop)","No","to save memory","more complicated decision making algorithms","Yes"
"2024/08/22 2:50:39 pm CET","Alison","Magliocca","2014","PLoS ONE","","","","Yes","Yes","Yes","Yes","Village","Sample sites included two in China (western Shandong Province, China (1a) and northern Hunan Province, China (1b)), two in Luoang Namtha, Laos (1c), one in southwestern Kentucky, USA (2a), and one in northwestern Virginia, USA (2b)","Raster (cells, pixels, patches)","No","","","","","Humans","100","Humans","","","No","","Yes","","","No"
"2024/08/22 3:14:00 pm CET","Alison","Padmanabha","2015","PLoS ONE","","","","I cannot be sure from reading the paper","Yes","","Yes","Village","Various parts of Columbia","Raster (cells, pixels, patches)","","67","","20","Years","","","","","1000","No","","No","","","No"
"2024/08/22 3:40:15 pm CET","Richard","Zhang","2022","Computers, Environment and Urban Systems","","94","1-20","Yes","Yes","Yes","Yes","City","Waterloo Ontario Canada","Raster (cells, pixels, patches)","No","","","20","","Organizations (businesses, NGOs, etc.)","","Organizations","","1000","No","","No","","more complicated decision making algorithms","Maybe"
"2024/08/22 3:50:37 pm CET","Richard","Kajiwara","2022","Computers, Environment and Urban Systems","","98","1-13","Yes","Yes","Yes","Yes","City","Toyama and Shizouka Japan","Paper does not say","","","","","","Households","","Households","","","No","","No","","","No"
"2024/08/22 4:01:46 pm CET","Richard","Shin","2023","Computers, Environment and Urban Systems","","99","1-11","Yes","Yes","Yes","Yes","City","Seoul Korea","Raster (cells, pixels, patches)","Yes","29760","","127740","Minutes","Human-Operated Machines","1400","Human-Operated Machines","40000","20","Yes","Personal computer (desktop/laptop)","No","","more / other scenarios","Maybe"
"2024/08/22 4:11:57 pm CET","Richard","Caprioli","2023","Computers, Environment and Urban Systems","","102","1-19","Yes","Yes","Yes","Yes","City","Brisbane Australia","Vector (polygons, lines, points)","No","","","","Years","Households","4093","Households","","","No","","No","","","No"
"2024/08/27 12:15:30 pm CET","Doug","Crooks","2014","Environmental Modelling and Software","62","","164-177","Yes","Yes","Yes","Yes","Town","Dadaab Refugee Camp, Kenya","","","","","525600","Minutes","Humans","500000","Humans","500000","450","No","","","lack of data","","No"
"2024/08/27 2:40:36 pm CET","Doug","Li","2015","Environmental Modelling and Software","71","","111-125","Yes","Yes","Yes","Yes","Multiple Counties or Region","Walloon Region, Belgium","","","","","70","Days","Households","","","","","No","","No","","more complicated decision making algorithms;including other social processes;including new classes of agent;more data","No"
"2024/08/27 2:58:00 pm CET","Doug","Koutiva","2016","Environmental Modelling and Software","79","","35-54","Yes","Yes","Yes","Yes","City","Athens, Greece","Raster (cells, pixels, patches)","No","","","156","Months","Households","930","Households","930000","3100","","","Yes","to save computing time","","Yes"
"2024/08/27 3:24:45 pm CET","Doug","Braasch","2018","Environmental Modelling and Software","105","","153-170","Yes","Yes","","Yes","Multiple Counties or Region","pine savanna under ejido tenure, California and Tres Icos La Sepultura Biosphere Reserve (SBR) in Chiapas, Mexico","Raster (cells, pixels, patches)","Yes","10449","","18250","Days","Humans;Human-Operated Machines","","","","150","No","","No","","","No"
"2024/08/27 3:51:11 pm CET","Doug","Abreu","2018","Environmental Modelling and Software","107","","281-297","Yes","Yes","Yes","Yes","Multiple Counties or Region","Brazilian Cerrado","Raster (cells, pixels, patches)","","","","138800","Weeks","Humans;Organizations (businesses, NGOs, etc.)","","Humans","3407","","","","No","","","Yes"
"2024/08/28 9:43:47 am CET","Doug","Pacilly","2019","Environmental Modelling and Software","119","","354-373","Yes","Yes","Yes","Yes","Nation","Netherlands","","Yes","2500","","18250","Days","Humans","350","Humans","","400","No","","No","","","No"
"2024/08/28 11:17:51 am CET","Doug","Dai","2020","Environmental Modelling and Software","127","","104684","Yes","Yes","Yes","Yes","City","Lishui","Vector (polygons, lines, points)","No","","293","876000","Hours","Humans;Organizations (businesses, NGOs, etc.);National Governments","1000","Humans","","24","No","","No","","","No"
"2024/08/28 2:22:48 pm CET","Doug","Dragicevic","2018","Habitat International","27","","3-17","Yes","Yes","Yes","Yes","Housing Estate","Clayton-Cloverdale neighborhood of the City of Surrey,","","","","","25","Years","Humans;Organizations (businesses, NGOs, etc.)","","","","","No","","No","","","No"
"2024/08/28 2:41:54 pm CET","Doug","Bao","2020","Habitat International","95","","102096","Yes","Yes","I cannot be sure from reading the paper","Yes","","","Raster (cells, pixels, patches)","No","","","1500","","Humans","330","","","","No","","No","","","No"
"2024/08/29 9:50:11 am CET","Doug","Acheampong","2021","Habitat International","110","","102343","Yes","Yes","Yes","Yes","City"," Kumasi Metropolis in Ghana, Sub-Saharan Africa","Vector (polygons, lines, points)","No","","","15","Years","Households","36039","","2000000","45","No","","","","including other social processes","No"
"2024/08/29 10:23:26 am CET","Doug","Zhang","2016","Technological Forecasting and Social Change","106","","78-84","Yes","Yes","Yes","Yes","City","Leeds, UK","","","","","5400","Minutes","Humans","1000","Humans","","200","Yes","Personal computer (desktop/laptop)","No","","larger spatial extent;more complicated decision making algorithms;including other social processes","No"
"2024/08/29 11:18:53 am CET","Doug","Najafi","2017","Medical Decision Making","37","8","","Yes","Yes","Yes","Yes","Village","Canada’s largest veterans’ long term care facility","","","","","230240","Seconds","Humans","","","","","Yes","National HPC infrastructure","No","","","Yes"
"2024/08/29 1:53:30 pm CET","Doug","de Lima","2018","Transportation Research Record","2672","49","","Yes","Yes","Yes","Yes","County or Municipality","Greater Boston Area","","No","","","","Minutes","Humans","4142068 ","Households","4500000","2","Yes","Organization's computing cluster","No","","more environmental dynamics;more data","Maybe"
"2024/08/29 2:33:48 pm CET","Doug","Mostafizi","2019","Transportation Research Record","2673","11","","Yes","Yes","Yes","Yes","City","Seaside, Oregon","Raster (cells, pixels, patches)","","","","60","Minutes","Humans;Human-Operated Machines","","","13400","","No","","No","","more complicated decision making algorithms;including other social processes","No"
"2024/08/29 3:56:06 pm CET","Gary","Kouwenberg","2015","PLoS ONE","10","6","e0129070","No","Yes","Yes","No","Nation","USA","Not a spatially explicit model","N/A","","","","","Households;Organizations (businesses, NGOs, etc.)","","","","","No","","No","","","No"
"2024/08/29 4:13:29 pm CET","Gary","Gutfraind","2015","PLoS ONE","10","9","e0137993","Yes","Yes","Yes","Yes","City","Chicago, Illinois, USA","Other","Yes","","100","7670","Days","Humans","32000","Humans","32000","300","Yes","Cloud services","Yes","to save computing time","more fine-grained spatial representation;including other social processes;more data;more / other scenarios","Yes"
"2024/08/29 4:37:46 pm CET","Gary","Alderton","2015","PLoS ONE","10","9","e0139505","I cannot be sure from reading the paper","Yes","Yes","Yes","Catchment of a River Basin","Luangwa Valley, Zambia","Raster (cells, pixels, patches)","No","","","4800","Seconds","Humans","5000","Humans","","4200","Yes","Organization's computing cluster","No","","","No"
"2024/08/30 8:38:13 am CET","Doug","Siegrist","2022","Transportation Research Record","2676","11","","Yes","Yes","Yes","Yes","City","City of Zurich","","","","","","Days","Humans;Human-Operated Machines","12072","","1400000","","No","","","","more runs of the model;including other social processes","No"
"2024/09/02 1:37:12 pm CET","Doug","Nsoesie","2012","PLoS ONE","","","","Yes","Yes","Yes","Yes","County or Municipality","Montgomery Country and New York City Area","Paper does not say","N/A","","","","Days","Humans","","","","","No","","No","","more runs of the model;Different network models","No"
"2024/09/02 1:44:49 pm CET","Gary","Huff","2015","PLoS ONE","10","11","e0142453","Yes","Yes","I cannot be sure from reading the paper","Yes","County or Municipality","Penobscot County, Maine, USA (33000 ha)","Other","No","","","400","Years","Households","","","","5600","No","","Yes","lack of data","more complicated decision making algorithms;including other social processes;more data","No"
"2024/09/02 2:35:01 pm CET","Gary","Padmanabha","2015","PLoS ONE","10","12","e0144451","Yes","Yes","Yes","Yes","Housing Estate","La Fachada, Armenia, Colombia","Raster (cells, pixels, patches)","No","","","7305","Days","Humans","","","","360000","No","","No","","more environmental dynamics;including other social processes","No"
"2024/09/02 2:47:47 pm CET","Doug","Wu","2014","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","Shanghai, China","Raster (cells, pixels, patches)","Yes","7000","","730","Hours","Humans","257278","","","","No","","No","","","No"
"2024/09/02 4:16:47 pm CET","Gary","Sobkowicz","2015","PLoS ONE","11","5","e0155098","Yes","Yes","I cannot be sure from reading the paper","Yes","Nation","Poland","Raster (cells, pixels, patches)","Yes","160000","","1180","Days","Humans","160000","Humans","","50","No","","Yes","for the sake of simplicity;lack of data","more runs of the model;more complicated decision making algorithms;including other social processes;more data","No"
"2024/09/02 4:31:37 pm CET","Gary","Jon-And","2019","PLoS ONE","14","4","e0212303","Yes","Yes","I cannot be sure from reading the paper","No","Multiple Counties or Region","Maputo, Mozambique","Not a spatially explicit model","","","","36500","Days","Humans","","","1083682","60","No","","Yes","lack of data","including other social processes;giving agents heterogeneous learning rates","No"
"2024/09/02 4:46:10 pm CET","Gary","Eitzel","2020","PLoS ONE","15","8","e0237638","Yes","No","Yes","Yes","County or Municipality","Mudhomori, Mazvihwa Communal Area, Midlands Province, Zimbabwe (600ha)","Raster (cells, pixels, patches)","Yes","2500","","65745","Hours","","","","","499200","Yes","Organization's computing cluster","Yes","to save computing time;high-dimensional parameter space","more complicated decision making algorithms;more environmental dynamics;including other social processes;including new classes of agent","No"
"2024/09/02 5:04:37 pm CET","Gary","Rypdal","2021","PLoS ONE","16","2","e0238268","Yes","Yes","Yes","Yes","City","Tromsø and Oslo, Norway","Not a spatially explicit model","N/A","","","240","Hours","Humans","","Humans","680000","832","No","","Yes","lack of data","","No"
"2024/09/03 11:04:30 am CET","Doug","Grow","2015","PLoS ONE","","","","Yes","Yes","Yes","Yes","More than one Nation, but not a whole Continent","12 European Countries","","","","","910","Months","Humans","","","","","No","","No","","","No"
"2024/09/03 11:23:06 am CET","Doug","Alderton","2015","PLoS ONE","","","","Yes","Yes","Yes","Yes","Multiple Counties or Region","Luangwa Valley, Zambia","Paper does not say","No","","","6720448000","Seconds","","","","","","Yes","Organization's computing cluster","","","Better calibration","Maybe"
"2024/09/03 11:45:03 am CET","Richard","Murray-Rust","2013","Environmental Modelling and Software","","46","75-89","Yes","Yes","Yes","Yes","City","Koper Slovenia","Raster (cells, pixels, patches)","No","","","30","Years","Households","","Households","","30","No","","No","","more data","Maybe"
"2024/09/03 12:02:30 pm CET","Richard","Li","2015","Environmental Modelling and Software","","71","111-125","Yes","Yes","Yes","Yes","Multiple Counties or Region","Wallonia South Belgium","Vector (polygons, lines, points)","No","","","70","Days","Humans","810000","Humans","810000","","No","","No","","more data","Maybe"
"2024/09/03 1:37:35 pm CET","Gary","Filomena","2020","PLoS ONE","15","12","e0244099","No","Yes","Yes","Yes","City","Paris, France; London, UK","Vector (polygons, lines, points)","No","","","","","Humans","2000","Humans","","5","No","","No","","more complicated decision making algorithms;more data","No"
"2024/09/03 1:57:42 pm CET","Gary","Nelson","2020","PLoS ONE","15","12","e0244185","Yes","Yes","Yes","Yes","Multiple Counties or Region","Somaliland and Puntland (490000km^2)","Raster (cells, pixels, patches)","Yes","490000","","132","Months","Households","22577","Households","225767","4","No","","Yes","to save computing time","more agents;more complicated decision making algorithms","Maybe"
"2024/09/04 8:58:09 am CET","Doug","Shrime","2016","PLoS ONE","","","","Yes","Yes","Yes","Yes","Nation","Uganda","","No","","","18250","Days","Humans","10000","","37500000","100","No","","No","","more agents;more data","Yes"
"2024/09/04 9:18:41 am CET","Doug","Gantenberg","2018","PLoS ONE","","","","Yes","Yes","Yes","Yes","County or Municipality","Rhode Island","Paper does not say","No","","","120","Months","Humans","25000","","","5000","No","","No","","more runs of the model;including new classes of agent;more data;Better exogenous parameter values","No"
"2024/09/04 11:02:25 am CET","Richard","Pacilly","2019","Environmental Modelling and Software","","119","354-373","Yes","Yes","Yes","Yes","","10km by 10km derived from agricultural region of netherlands","Raster (cells, pixels, patches)","Yes","2500","","7650","Days","Humans","350","Humans","350","100","No","","No","","","Maybe"
"2024/09/04 12:23:59 pm CET","Richard","Dragicevic","2018","Habitat International","","72","3-17","Yes","Yes","Yes","Yes","City","Clayton-Cloverdale, City of Surrey, Canada","Vector (polygons, lines, points)","No","","","","","Humans;Organizations (businesses, NGOs, etc.)","","","","","","","No","","","No"
"2024/09/04 12:36:13 pm CET","Richard","Acheampong","2021","Habitat International","","110","","Yes","Yes","Yes","Yes","County or Municipality","Kumasi Metropolis, Ghana","Vector (polygons, lines, points)","","","","","","Households","63608","Households","","","No","","No","","more complicated decision making algorithms","Maybe"
